category,business_count,business_per_1000_people,business_per_sqkm,location,population
restaurant,169,2.036880800289261,6.733067729083665,Kilimani,82970
supermarket,17,0.2048933349403399,0.6772908366533864,Kilimani,82970
pharmacy,12,0.1446305893696517,0.4780876494023904,Kilimani,82970
salon,6,0.07231529468482585,0.2390438247011952,Kilimani,82970
hairdresser,3,0.036157647342412925,0.1195219123505976,Kilimani,82970
clothes,2,0.02410509822827528,0.0796812749003984,Kilimani,82970
